process_exec_idx, bench_name, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
1, nbody, 0.08519776, 0.00583143, 0.00592268, 0.00550311, 0.00552869, 0.00550765, 0.00547238, 0.00502959, 0.00466893, 0.00465253, 0.00461355, 0.00460081, 0.00460844, 0.00477922, 0.00461867, 0.00463810, 0.00461373, 0.00461656, 0.00461385, 0.00460098
2, nbody, 0.08179310, 0.00566690, 0.00555288, 0.00546327, 0.00513016, 0.00463976, 0.00457951, 0.00456881, 0.00458429, 0.00463264, 0.00458358, 0.00456746, 0.00457186, 0.00461480, 0.00458021, 0.00456654, 0.00457515, 0.00458156, 0.00456665, 0.00456581
